id;entrega;diagnostico;comconpers;motivación
515;0.6449;1;0.2;0.8
516;0.9275;0.5;0.2;0.8
517;0.7986;1;0.2;0.6
518;0.6884;1;0.2;0.6
519;0.7029;0;0.2;0.6
520;0.7029;1;0.2;0.6
521;0.9118;1;0.2;0.6
522;0.6449;1;0.2;0.6
523;0.1667;1;0.2;0.4
524;0.9565;0;0.2;0.4
525;0.1304;1;0.2;0.2
526;0.3986;0.5;0.2;0.2
527;0.9496;1;0.133333333333333;1
528;0.5899;1;0.133333333333333;0.8
529;0.971;0;0.133333333333333;0.8
530;0.5217;1;0.133333333333333;0.4
531;0.9928;0;0.133333333333333;0.2
532;0.4245;1;0.125;0.8
533;0.3053;1;0.125;0.6
534;0.2536;1;0.125;0.2
535;0.529;1;0.0666666666666667;0.6
536;0.8963;1;0;1
537;1,00;1;0;1
538;0.9704;1;0;1
539;0.9632;1;0;1
540;0.9556;1;0;0.8
541;0.5294;1;0;0.8
542;0.7426;1;0;0.8
543;0.6;0.5;0;0.6
544;0.5145;1;0;0.6
545;0.4044;1;0;0.6
546;0.8594;1;0;0.6
547;0.2029;0;0;0.2
